fname,fx,run,budget_factor,budget,algname,fid,iid,dim
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,21.8964176983,1,10,100,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.6082743635,1,50,500,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.1353947204,1,100,1000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.9350469299,1,500,5000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.7964419876,1,1000,10000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.0857010564,1,5000,50000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.0857010564,1,10000,100000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,309.7721509992,2,10,100,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.5616859273,2,50,500,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.2592472479,2,100,1000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.1883139382,2,500,5000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.7371556755,2,1000,10000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.1844942697,2,5000,50000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.1844942697,2,10000,100000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,35.1796901558,3,10,100,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.9331570931,3,50,500,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.5127320747,3,100,1000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.3226106271,3,500,5000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.3226106271,3,1000,10000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.3226106271,3,5000,50000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.204264171,3,10000,100000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,30.6532938141,4,10,100,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.4047148904,4,50,500,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.0930490626,4,100,1000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.9619649033,4,500,5000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.2483915996,4,1000,10000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.2436351451,4,5000,50000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.1054380562,4,10000,100000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,4.1014994821,5,10,100,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.9417487384,5,50,500,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.7195471212,5,100,1000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.7174298227,5,500,5000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.7174298227,5,1000,10000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.5594761493,5,5000,50000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I10_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.2633805826,5,10000,100000,modcma_bipop,20,10,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,4.2262400951,1,10,100,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.8657353758,1,50,500,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.7345518134,1,100,1000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.5282750573,1,500,5000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.421405141,1,1000,10000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,0.8488243872,1,5000,50000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,0.8488243872,1,10000,100000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,40.0586640432,2,10,100,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.1290811232,2,50,500,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.6027644462,2,100,1000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.5989941975,2,500,5000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.5989941975,2,1000,10000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.2239682694,2,5000,50000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.2239682694,2,10000,100000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,49.8566965454,3,10,100,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.5783498094,3,50,500,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.4303316501,3,100,1000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.4212790604,3,500,5000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.4212790604,3,1000,10000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.1844023912,3,5000,50000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,0.7895943426,3,10000,100000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1824.5234464669,4,10,100,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.3257760277,4,50,500,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.9799121687,4,100,1000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.7371556755,4,500,5000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.6193017566,4,1000,10000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.0659640565,4,5000,50000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.0659640565,4,10000,100000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,4.3904998828,5,10,100,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.7338602722,5,50,500,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.0794082627,5,100,1000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.8173209514,5,500,5000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.480510303,5,1000,10000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,0.6909259093,5,5000,50000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I1_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,0.6909259093,5,10000,100000,modcma_bipop,20,1,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,3.8416967899,1,10,100,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.683452385,1,50,500,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.7303738867,1,100,1000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.6976487743,1,500,5000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.6976487743,1,1000,10000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,0.7106629092,1,5000,50000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,0.7106629092,1,10000,100000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,3.9954471444,2,10,100,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.4100526802,2,50,500,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.4539158109,2,100,1000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.2633694355,2,500,5000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.2633694355,2,1000,10000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.2633694355,2,5000,50000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,0.9869997216,2,10000,100000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,4.5935595168,3,10,100,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.0897369034,3,50,500,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.5437064763,3,100,1000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.5200160061,3,500,5000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.5200160061,3,1000,10000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.3200944613,3,5000,50000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.204264171,3,10000,100000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,6.2734288826,4,10,100,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.9177945123,4,50,500,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.2438102953,4,100,1000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.0879435373,4,500,5000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.9149159331,4,1000,10000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.1054380562,4,5000,50000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,0.8882956774,4,10000,100000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,3.5357089864,5,10,100,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.6365620253,5,50,500,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.9666118325,5,100,1000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.9346502235,5,500,5000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.9346502235,5,1000,10000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.4016339391,5,5000,50000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I2_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.4016339391,5,10000,100000,modcma_bipop,20,2,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,3.3636998611,1,10,100,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.4642787326,1,50,500,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.1989602884,1,100,1000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.1702359703,1,500,5000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.9544679548,1,1000,10000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.5990722195,1,5000,50000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.2436435827,1,10000,100000,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,29.3298980003,2,10,100,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.7562637718,2,50,500,modcma_bipop,20,3,10
Data/Baselines\modcma_bipop_F20_I3_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.6193751968,2,100,1000,modcma_bipop,20,3,10
