budget_factor,algname,fid,dim,lib,fx_dt_fb,budget,fx_correct,_merge,fx_diff,within_tolerance
10,CS,1,10,OPYTIMIZER,-6.065227184929822,100.0,-6.056686726,both,0.008540458929822137,True
10,DE,1,10,OPYTIMIZER,-6.0851297932827855,100.0,-6.085797531,both,0.0006677377172144006,True
10,modcma_bipop,1,10,Baselines,0.8050382054488655,100.0,0.793790809,both,0.011247396448865521,True
50,CS,1,10,OPYTIMIZER,-6.130127864056998,500.0,-6.104924227,both,0.025203637056998573,True
50,DE,1,10,OPYTIMIZER,-6.138467832750036,500.0,-6.141167832,both,0.0026999992499634473,True
50,modcma_bipop,1,10,Baselines,-1.7633935763956732,500.0,-1.825671401,both,0.06227782460432674,True
100,CS,1,10,OPYTIMIZER,-6.206735223196518,1000.0,-6.189969817,both,0.016765406196518562,True
100,DE,1,10,OPYTIMIZER,-6.20021293994671,1000.0,-6.214973811,both,0.014760871053289826,True
100,modcma_bipop,1,10,Baselines,-5.076402483083817,1000.0,-5.091882771,both,0.015480287916182611,True
500,CS,1,10,OPYTIMIZER,-6.550754349478679,5000.0,-6.553033143,both,0.0022787935213210986,True
500,DE,1,10,OPYTIMIZER,-6.579689603157996,5000.0,-6.627793004,both,0.04810340084200426,True
500,modcma_bipop,1,10,Baselines,-8.0,5000.0,-8.0,both,0.0,True
1000,CS,1,10,OPYTIMIZER,-6.9598655745016735,10000.0,-6.962249079,both,0.002383504498326694,True
1000,DE,1,10,OPYTIMIZER,-7.019404723080523,10000.0,-7.052378105,both,0.03297338191947663,True
1000,modcma_bipop,1,10,Baselines,-8.0,10000.0,-8.0,both,0.0,True
5000,CS,1,10,OPYTIMIZER,-8.0,50000.0,-8.0,both,0.0,True
5000,DE,1,10,OPYTIMIZER,-8.0,50000.0,-8.0,both,0.0,True
5000,modcma_bipop,1,10,Baselines,-8.0,50000.0,-8.0,both,0.0,True
10000,CS,1,10,OPYTIMIZER,-8.0,100000.0,-8.0,both,0.0,True
10000,DE,1,10,OPYTIMIZER,-8.0,100000.0,-8.0,both,0.0,True
10000,modcma_bipop,1,10,Baselines,-8.0,100000.0,-8.0,both,0.0,True
