budget_factor,algname,fid,dim,lib,fx,budget
10,CS,1,10,OPYTIMIZER,-6.056686726,100
50,CS,1,10,OPYTIMIZER,-6.104924227,500
100,CS,1,10,OPYTIMIZER,-6.189969817,1000
500,CS,1,10,OPYTIMIZER,-6.553033143,5000
1000,CS,1,10,OPYTIMIZER,-6.962249079,10000
5000,CS,1,10,OPYTIMIZER,-8,50000
10000,CS,1,10,OPYTIMIZER,-8,100000
10,DE,1,10,OPYTIMIZER,-6.085797531,100
50,DE,1,10,OPYTIMIZER,-6.141167832,500
100,DE,1,10,OPYTIMIZER,-6.214973811,1000
500,DE,1,10,OPYTIMIZER,-6.627793004,5000
1000,DE,1,10,OPYTIMIZER,-7.052378105,10000
5000,DE,1,10,OPYTIMIZER,-8,50000
10000,DE,1,10,OPYTIMIZER,-8,100000
10,modcma_bipop,1,10,Baselines,0.793790809,100
50,modcma_bipop,1,10,Baselines,-1.825671401,500
100,modcma_bipop,1,10,Baselines,-5.091882771,1000
500,modcma_bipop,1,10,Baselines,-8,5000
1000,modcma_bipop,1,10,Baselines,-8,10000
5000,modcma_bipop,1,10,Baselines,-8,50000
10000,modcma_bipop,1,10,Baselines,-8,100000
