budget_factor,algname,fid,dim,lib,fx,budget
10,CS,1,10,OPYTIMIZER,-6.065227184929822,100.0
10,DE,1,10,OPYTIMIZER,-6.0851297932827855,100.0
10,modcma_bipop,1,10,Baselines,0.8050382054488655,100.0
50,CS,1,10,OPYTIMIZER,-6.130127864056998,500.0
50,DE,1,10,OPYTIMIZER,-6.138467832750036,500.0
50,modcma_bipop,1,10,Baselines,-1.7633935763956732,500.0
100,CS,1,10,OPYTIMIZER,-6.206735223196518,1000.0
100,DE,1,10,OPYTIMIZER,-6.20021293994671,1000.0
100,modcma_bipop,1,10,Baselines,-5.076402483083817,1000.0
500,CS,1,10,OPYTIMIZER,-6.550754349478679,5000.0
500,DE,1,10,OPYTIMIZER,-6.579689603157996,5000.0
500,modcma_bipop,1,10,Baselines,-8.0,5000.0
1000,CS,1,10,OPYTIMIZER,-6.9598655745016735,10000.0
1000,DE,1,10,OPYTIMIZER,-7.019404723080523,10000.0
1000,modcma_bipop,1,10,Baselines,-8.0,10000.0
5000,CS,1,10,OPYTIMIZER,-8.0,50000.0
5000,DE,1,10,OPYTIMIZER,-8.0,50000.0
5000,modcma_bipop,1,10,Baselines,-8.0,50000.0
10000,CS,1,10,OPYTIMIZER,-8.0,100000.0
10000,DE,1,10,OPYTIMIZER,-8.0,100000.0
10000,modcma_bipop,1,10,Baselines,-8.0,100000.0
