Instance,Java_Fitness,Python_Fitness,Difference,Relative_Diff_%
I1,0.234502,1.385e-07,0.2345018615,169315423.46570396
I2,0.158281,1.2924e-06,0.1582797076,12246959.733828539
I3,0.099057,6.63e-08,0.0990569337,149407139.81900454
I4,0.127581,2.22e-08,0.1275809778,574689089.1891891
I5,0.122116,2.843e-07,0.1221157157,42953118.43123461
I6,0.10473,1.611e-07,0.1047298389,65009210.98696461
I7,0.121538,2.897e-07,0.12153771029999999,41952954.88436313
I8,0.236991,6.397e-07,0.2369903603,37047109.62951384
I9,0.171855,3.7525e-06,0.1718512475,4579646.835443038
I10,0.134648,4.59754e-05,0.13460202459999998,292769.6650817611
